,,,,,
codeset,Type,application,Name,FIELDMOBI_DEFAULT,
,,,,,
,Type,Level,Parent Path,Code,Description
1,CHARGECODE,Level_001,CHARGECODE,BUSINESS_EXPENSE,Business Expense
2,CHARGECODE,Level_001,CHARGECODE,EMPLOYEE,Employee
3,CHARGECODE,Level_001,CHARGECODE,TAXES,Taxes
4,CHARGECODE,Level_001,CHARGECODE,DEPRECIATION,Depreciation
5,CHARGECODE,Level_001,CHARGECODE,INTERESTS,Interests
6,CHARGECODE,Level_001,CHARGECODE,LEGAL_EXPENSE,Legal Expense
7,CHARGECODE,Level_001,CHARGECODE,BUSINESS_LOSS,Business Loss
8,CHARGECODE,Level_001,CHARGECODE,OFFICE_EXPENSE,Office Expense
9,CHARGECODE,Level_001,CHARGECODE,SAFETY,Safety
10,CHARGECODE,Level_001,CHARGECODE,MAINTENANCE,Maintenance
11,CHARGECODE,Level_001,CHARGECODE,MARKETING,Marketing and Advertising
12,CHARGECODE,Level_001,CHARGECODE,BAD_DEBTS,Bad Debts
13,CHARGECODE,Level_001,CHARGECODE,COGS,COGS
14,CHARGECODE,Level_002,CHARGECODE#BAD_DEBTS,NON_PAYMENT,Non payment from customers
15,CHARGECODE,Level_002,CHARGECODE#BAD_DEBTS,FRAUDULENT_ACTIVITIES,Fraudulent activities
16,CHARGECODE,Level_002,CHARGECODE#BAD_DEBTS,ECONOMIC_DOWNTURN,Economic downturn
17,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,RENT,Rent
18,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,UTILITIES,Utilities
19,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,SHIPPING,Postage & Shipping
20,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,INSURANCE,Insurance premium
21,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,PACKAGING,Packaging cost
22,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,STORAGE,Storage cost
23,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,WAREHOUSING,Warehousing cost
24,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,CUSTOMS,Custom duties & tariffs
25,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,OPERATING_LOSS,Operating loss
26,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,NET_LOSS,Net loss
27,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,CAPITAL_LOSS,Capital loss
28,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,INVENTORY_LOSS,Inventory loss
29,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,IMPAIRMENT_LOSS,Impairment loss
30,CHARGECODE,Level_002,CHARGECODE#COGS,LABOR_COST,Direct Labor Cost
31,CHARGECODE,Level_002,CHARGECODE#COGS,MATERIAL_COST,Direct Material Cost
32,CHARGECODE,Level_002,CHARGECODE#COGS,MANUFACTURING_COST,Direct Manufacturing Cost
33,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,FIXED_ASSETS,Depreciation on fixed assets
34,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,INTANGIBLE_ASSETS,Amortization on intangible assets
35,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,DEPLETION,Depletion of natural resources
36,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,ACCUMULATED_DEPRECIATION,Accumulated depreciation
37,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,IMPAIRMENT,Impairment charge
38,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,SALARY,Salary
39,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_TRAVEL,Employee travel
40,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_FOOD,Employee food
41,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,TRAINING,Training
42,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,HEALTH,Health
43,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,PURCHASE,purchase for employee usage
44,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_BENEFITS,Employee benefits
45,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,INTERNS,Interns
46,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,CONSULTANTS,Consultants/ Agents/ Contractors
47,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,WAGES,Wages
48,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_INSURANCE,Employee insurance
49,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,LEGAL_EXPENSE,Employee legal expense
50,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,RECRUITMENT,Recruitment
51,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,MISCELLANEOUS,miscellaneous
52,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_STAY,employee temporary stay
53,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_ACCOMODATION,employee accomodation
54,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,LOAN_INTEREST,Loan interest
55,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,BOND_INTEREST,Bond interest
56,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,INTEREST_LEASE,Interest on lease
57,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,BANK_INTEREST,Bank overdraft interest
58,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,CREDIT_CARD,Credit card interest
59,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,COUNSEL_EXPENSE,Legal counsel expense
60,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,LITIGATION_COST,Litigation cost
61,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,REGULATORY_COMPLIANCE,Regulatory compliance
62,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,CONTRACTUAL_EXPENSE,Contractual expense
63,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,INVESTIGATION,Investigation
64,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,PENALTIES,Penalties / Fees
65,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,LEGAL_RESEARCH,Legal research
66,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,EQUIPMENT_MAINTENANCE,Equipment maintenance
67,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,GROUND_MAINTENANCE,Ground maintenance
68,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,PREVENTIVE_MAINTENANCE,Preventive maintenance
69,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,UTILITY_MAINTENANCE,Utility maintenance
70,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,TRANSPORTATION_COST,Transportation cost
71,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,ENVIRONMENTAL_EXPENSES,Environmental compliance expenses
72,CHARGECODE,Level_002,CHARGECODE#MARKETING,ADVERTISING_CAMPAIGNS,Advertising campaigns
73,CHARGECODE,Level_002,CHARGECODE#MARKETING,PROMOTIONS,Promotions
74,CHARGECODE,Level_002,CHARGECODE#MARKETING,SPONSORSHIPS,Sponsorships
75,CHARGECODE,Level_002,CHARGECODE#MARKETING,CONTENT_CREATION,Content creation
76,CHARGECODE,Level_002,CHARGECODE#MARKETING,PUBLIC_RELATIONS,Public relations
77,CHARGECODE,Level_002,CHARGECODE#MARKETING,MARKETING_RESEARCH,Marketing research
78,CHARGECODE,Level_002,CHARGECODE#MARKETING,WEBSITE_DEVELOPMENT,Website development
79,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,STATIONERY,Stationery
80,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,PHONE_CHARGES,Phone service charges
81,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,OFFICE_SUPPLIES,Office supplies
82,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,SOFTWARE_EXPENSES,Software & Hardware expenses
83,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,OFFICE_DECOR,Office decor
84,CHARGECODE,Level_002,CHARGECODE#SAFETY,CLEANING,Hygeine and Cleaning
85,CHARGECODE,Level_002,CHARGECODE#SAFETY,FIRE_SAFETY,Fire safety
