,,,,,
codeset,Type,application,Name,FIELDMOBI_DEFAULT,
,,,,,
field,Type,Level,Parent Path,Code,Description
1,INDUSTRY,Level_001,INDUSTRY,ENERGY,Energy
2,INDUSTRY,Level_001,INDUSTRY,MATERIALS,Materials
3,INDUSTRY,Level_001,INDUSTRY,CAPITAL_GOODS,Capital Goods
4,INDUSTRY,Level_001,INDUSTRY,SERVICES,Commercial and Professional Services
5,INDUSTRY,Level_001,INDUSTRY,TRANSPORTATION,Transportation
6,INDUSTRY,Level_001,INDUSTRY,AUTOMOBILE,Automobiles and Components
7,INDUSTRY,Level_001,INDUSTRY,FMCG,Consumer Goods
8,INDUSTRY,Level_001,INDUSTRY,RETAIL,Distribution and Retail
9,INDUSTRY,Level_001,INDUSTRY,PHARMA,Health Care and Pharmaceuticals
10,INDUSTRY,Level_001,INDUSTRY,ELECTRONICS,Industrial Electronics
11,INDUSTRY,Level_001,INDUSTRY,MEDIA,Media and Entertainment
12,INDUSTRY,Level_001,INDUSTRY,REALESTATE,Real Estate Management and Development
13,INDUSTRY,Level_001,INDUSTRY,RENTAL,Rental
14,INDUSTRY,Level_001,INDUSTRY,ASSEMBLY,Assembly
15,INDUSTRY,Level_001,INDUSTRY,OTHER,Other
16,INDUSTRY,Level_002,INDUSTRY#ENERGY,OIL_EQP,Oil and Gas Equipment and Services
17,INDUSTRY,Level_002,INDUSTRY#ENERGY,OIL _REFINING,Oil and Gas Refining and Marketing
18,INDUSTRY,Level_002,INDUSTRY#ENERGY,OIL _TRANSPORT,Oil and Gas Storage and Transportation
19,INDUSTRY,Level_002,INDUSTRY#ENERGY,FUELS,Coal and Consumable Fuels
20,INDUSTRY,Level_002,INDUSTRY#ENERGY,RENEWABLE,Renewable Energy
21,INDUSTRY,Level_002,INDUSTRY#MATERIALS,CHEMICALS,Chemicals
22,INDUSTRY,Level_002,INDUSTRY#MATERIALS,CONSTRUCTION_MATERIALS,Construction Materials
23,INDUSTRY,Level_002,INDUSTRY#MATERIALS,PACKAGING,Containers and Packaging
24,INDUSTRY,Level_002,INDUSTRY#MATERIALS,METALS_MINING,Metals and Mining
25,INDUSTRY,Level_002,INDUSTRY#MATERIALS,FOREST_PRODUCTS,Forest Products
26,INDUSTRY,Level_002,INDUSTRY#MATERIALS,PAPER_PRODUCTS,Paper Products
27,INDUSTRY,Level_002,INDUSTRY#CAPITAL_GOODS,BUILDING PRODUCTS,Building Products
28,INDUSTRY,Level_002,INDUSTRY#CAPITAL_GOODS,CONSTRUCTION,Construction and Engineering
29,INDUSTRY,Level_002,INDUSTRY#CAPITAL_GOODS,ELECTRICAL_COMPONENTS,Electrical Components and Equipment
30,INDUSTRY,Level_002,INDUSTRY#CAPITAL_GOODS,ELECTRICAL_EQUIPMENT,Heavy Electrical Equipment
31,INDUSTRY,Level_002,INDUSTRY#CAPITAL_GOODS,CONSTRUCTION_MACHINERY,Construction Machinery and Heavy Transportation Equipment
