,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module,Customization,testttt.fun,Module,FM_UPDATES_WORKFORCE,Database,fmfrontline,Collection,fmupdates,account_field,ACCOUNT_KEY,type_field,DATA_TYPE,type_value,WRKSTATUS,key_field,fieldCode001,display_fields,fieldCode001#fieldCode002,datatype_key,NONE,project_key,NONE,team_key,NONE,total_fields,fieldCode025#fieldCode026,alert_key,fieldCode011#fieldCode024,chart_pie,fieldCode011,chart_column,fieldCode003#fieldCode011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Code,field_type,data,label,visibility,message,default,validation,list_type,list_value,multi_group,hidden,Link Setup,Update Setup,FILTER,SEARCH,SORT,MOBILE,DETAIL,CREATE,EDIT,SELECT,LIST,MAP,CARD,REPORT,Remarks,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fieldCode001,KEY,USER_KEY,Workforce Code,SUPERVISOR,,,,,,,,,,,01,,,03,,,,02,02,02,02,,NONE,,,,,
fieldCode002,TYP,UPDATE_TYPE,Update Type,SUPERVISOR,,,mandatory,Fixed,Start Work#End Work#Task Update,,,,,,02,,01,07,,,,03,03,03,03,,NONE,,,,,
fieldCode003,CAT,UPDATE_CATEGORY,Update Category,SUPERVISOR,,,,Codeset,ACTIVTY,,,,,,03,,02,,,01,,,,,,,,NONE,,,,,
fieldCode004,CAT,UPDATE_SUBCATEGORY,Update SubCategory,SUPERVISOR,,,,Codeset,ACTIVITY#SUBACTIVITY,,,,,,04,,03,,,02,,,,,,,,NONE,,,,,
fieldCode005,IMG,IMAGE,Image,SUPERVISOR,,,,,,,,,,,05,,04,02,,,,04,01,01,04,,NONE,,,,,
fieldCode006,AUD,AUDIO,Audio,SUPERVISOR,,,,,,,,,,,,,05,06,,,,05,04,04,05,,NONE,,,,,
fieldCode007,DOC,DOCUMENT,Documents,SUPERVISOR,,,,,,,,,,,,,06,08,,,,07,,,07,,NONE,,,,,
fieldCode008,REM,USER_COMMENTS,Employee Comments,SUPERVISOR,,,,,,,,,,,,,07,09,,,,08,05,05,08,,NONE,,,,,
fieldCode009,REM,APPROVER_REMARKS,Approver Remarks,SUPERVISOR,,,,,,,,,,,,,,10,,,,09,,,09,,NONE,,,,,
fieldCode010,LOC,LOCATION,Location,SUPERVISOR,,,,,,,,,,,06,,,11,,,,10,,,10,,NONE,,,,,
fieldCode011,ALT,SYS_ALERT_STATUS,Alert Status,SUPERVISOR,,,,Fixed,Pending#Verify#Approve#Complete#Error#Close,,,,,,,,,04,,,,01,,,01,,NONE,,,,,
fieldCode012,STA,SYS_DATA_STATUS,Update Status,SUPERVISOR,,,,Fixed,Pending#Verify#Approve#Complete#Error#Close,,,,,,09,,,05,,03,,06,08,08,06,,NONE,,,,,
fieldCode013,REF,CONTROL#USER_NAME,Created By,SUPERVISOR,,,,,,,,,,,10,,,14,,,,13,09,09,13,,NONE,,,,,
fieldCode014,TIM,CONTROL#DATA_TIME,Created On,SUPERVISOR,,,,,,,,,,,11,01,,15,,,,14,10,10,14,,NONE,,,,,
fieldCode015,TIM,CONTROL#DATA_UPDATEDON,Last Updated On,SUPERVISOR,,,,,,,,,,,12,02,,16,,,,15,,,15,,NONE,,,,,
fieldCode016,REF,CONTROL#DATA_UPDATEDBY,Last Updated By,SUPERVISOR,,,,,,,,,,,,,,,,,,16,,,16,,NONE,,,,,
fieldCode016,REF,DATA_KEY,Data Key,SUPERVISOR,,,,,,,,,,,,,,17,,,,17,,,17,,NONE,,,,,
fieldCode017,REF,ACCOUNT_KEY,Account,SUPERVISOR,,,,,,,,,,,,,,18,,,,18,,,18,,NONE,,,,,
fieldCode018,REF,DEPARTMENT_KEY,Department,SUPERVISOR,,,,,,,,,,,,,,19,,,,19,,,19,,NONE,,,,,
fieldCode019,REF,REGION_KEY,Region,SUPERVISOR,,,,,,,,,,,,,,20,,,,20,,,20,,NONE,,,,,
fieldCode020,REF,BUSINESS_UNIT,Business Unit,SUPERVISOR,,,,,,,,,,,,,,,,,,21,,,21,,NONE,,,,,
fieldCode021,REF,TEAM_KEY,Team,SUPERVISOR,,,,,,,,,,,,,,,,,,22,,,22,,NONE,,,,,
fieldCode022,CAT,BILLING_RATE,Billing Rate Category,SUPERVISOR,,,,Codeset,BILLING_RATE,,,,,,13,,08,21,,04,,23,11,11,23,,NEW,,,,,
fieldCode023,CAT,SKILL_MATRIX,Skills,SUPERVISOR,,,,Codeset,SKILLS,,,,Y,,14,,09,22,,05,,24,12,12,24,,NEW,,,,,
fieldCode024,DAT,CERTIFICATION_EXPIRY,Certification Expiry,SUPERVISOR,,,mandatory,,,,,,,,15,,10,23,,06,,25,13,13,25,,NEW,,,,,
fieldCode025,NUM,BILLABLE_HOURS,Billable Hours,SUPERVISOR,,,mandatory,,,,,,,,16,,11,24,,07,,26,14,14,26,,NEW,,,,,
fieldCode026,NUM,TOTAL_HOURS,Total Hours,SUPERVISOR,,,mandatory,,,,,,,,17,,12,25,,08,,27,15,15,27,,NEW,,,,,
fieldCode027,IMG,DOCUMENT_IMAGE,Document Image,SUPERVISOR,,,,,,,,,,,18,,13,26,,09,,28,16,16,28,,NEW,,,,,
